"Data","Valor"
02/11/2003,383.30
26/10/2003,384.50
19/10/2003,388.90
12/10/2003,371.80
05/10/2003,373.60
28/09/2003,369.40
21/09/2003,380.80
14/09/2003,381.80
07/09/2003,375.80
31/08/2003,377.60
24/08/2003,375.70
17/08/2003,363.10
10/08/2003,363.20
03/08/2003,356.30
27/07/2003,346.10
20/07/2003,362.70
13/07/2003,347.20
06/07/2003,344.80
29/06/2003,351.00
22/06/2003,345.20
15/06/2003,356.30
08/06/2003,356.60
01/06/2003,363.70
25/05/2003,364.50
18/05/2003,368.80
11/05/2003,354.70
04/05/2003,348.60
27/04/2003,341.00
20/04/2003,333.40
13/04/2003,327.20
06/04/2003,327.90
30/03/2003,325.30
23/03/2003,331.50
16/03/2003,326.00
09/03/2003,336.50
02/03/2003,350.80
23/02/2003,350.20
16/02/2003,351.80
09/02/2003,351.90
02/02/2003,369.90
26/01/2003,368.30
19/01/2003,368.20
12/01/2003,356.60
05/01/2003,354.50
29/12/2002,351.20
22/12/2002,349.20
15/12/2002,340.50
08/12/2002,333.20
01/12/2002,326.30
24/11/2002,316.80
17/11/2002,320.70
10/11/2002,320.70
03/11/2002,321.30
27/10/2002,318.80
20/10/2002,313.40
13/10/2002,312.70
06/10/2002,316.30
29/09/2002,322.10
22/09/2002,319.70
15/09/2002,321.90
08/09/2002,316.60
01/09/2002,319.90
25/08/2002,312.40
18/08/2002,306.70
11/08/2002,313.70
04/08/2002,314.20
28/07/2002,307.00
21/07/2002,303.40
14/07/2002,323.90
07/07/2002,315.60
30/06/2002,310.90
23/06/2002,313.50
16/06/2002,324.60
09/06/2002,319.10
02/06/2002,324.60
26/05/2002,326.50
19/05/2002,320.40
12/05/2002,310.60
05/05/2002,311.00
28/04/2002,312.20
21/04/2002,311.60
14/04/2002,302.30
07/04/2002,302.10
31/03/2002,300.10
24/03/2002,302.60
17/03/2002,297.30
10/03/2002,289.90
03/03/2002,290.10
24/02/2002,298.00
17/02/2002,293.20
10/02/2002,298.40
03/02/2002,303.50
27/01/2002,286.00
20/01/2002,278.80
13/01/2002,283.10
06/01/2002,287.40
30/12/2001,278.90
23/12/2001,276.50
16/12/2001,278.00
09/12/2001,278.00
02/12/2001,273.90
25/11/2001,273.90
18/11/2001,272.90
11/11/2001,274.70
04/11/2001,277.40
28/10/2001,279.80
21/10/2001,277.90
14/10/2001,280.10
07/10/2001,284.90
30/09/2001,291.40
23/09/2001,292.40
16/09/2001,291.90
09/09/2001,290.20
02/09/2001,273.10
26/08/2001,274.40
19/08/2001,272.50
12/08/2001,279.30
05/08/2001,273.90
29/07/2001,267.90
22/07/2001,267.40
15/07/2001,269.90
08/07/2001,267.10
01/07/2001,265.90
24/06/2001,270.60
17/06/2001,272.30
10/06/2001,271.20
03/06/2001,273.40
27/05/2001,266.40
20/05/2001,277.90
13/05/2001,287.40
06/05/2001,267.90
29/04/2001,266.10
22/04/2001,263.90
15/04/2001,264.80
08/04/2001,260.10
01/04/2001,260.00
25/03/2001,257.90
18/03/2001,261.50
11/03/2001,258.10
04/03/2001,270.80
25/02/2001,262.10
18/02/2001,260.90
11/02/2001,258.20
04/02/2001,259.90
28/01/2001,267.10
21/01/2001,262.80
14/01/2001,264.30
07/01/2001,263.90
31/12/2000,268.00
24/12/2000,272.00
17/12/2000,273.70
10/12/2000,270.40
03/12/2000,272.20
26/11/2000,268.70
19/11/2000,266.30
12/11/2000,265.70
05/11/2000,264.50
29/10/2000,264.60
22/10/2000,264.40
15/10/2000,271.20
08/10/2000,272.40
01/10/2000,269.30
24/09/2000,273.60
17/09/2000,271.80
10/09/2000,272.30
03/09/2000,273.30
27/08/2000,277.00
20/08/2000,274.10
13/08/2000,276.80
06/08/2000,275.10
30/07/2000,272.60
23/07/2000,277.70
16/07/2000,280.10
09/07/2000,281.10
02/07/2000,283.20
25/06/2000,290.10
18/06/2000,282.70
